TAZ,HHNUM,HHSIZE
1,4347.4,2.036
2,2215.2,2.216
3,0,0
4,722,1.906
5,3733,1.676
6,1732.2,1.814
7,2726,1.684
8,6,2.056
9,1237.8,2.236
10,1476.2,2.206
11,2829.2,2.126
12,3596.6,1.976
13,3137.4,1.804
14,2075.4,2.376
15,0,0
16,0,0
17,726,1.926
18,720,2.568
19,1757.6,1.964
20,3485.2,2.196
21,515.8,2.256
22,1441.2,1.796
23,2906.2,1.734
24,2387.4,1.834
25,3397.8,1.576
26,2082.2,1.846
27,996.4,1.644
28,445.8,1.966
29,3570.2,1.566
30,1307,1.896
31,1,1.024
32,1571.2,1.774
33,1194.8,1.824
34,2867.2,1.654
35,2387.4,1.644
36,3881.6,1.636
37,3259.8,1.576
38,4182,1.524
39,2415.4,1.764
40,3842.6,1.586
41,2628.8,1.674
42,1857.8,2.618
43,603.6,2.106
44,3535.4,2.948
45,3983,2.838
46,1001.4,3.08
47,3327.6,2.176
48,3125.8,2.738
49,1516.8,1.946
50,1825.6,2.728
51,1093.2,1.856
52,1466,2.398
53,2016.6,2.036
54,3156.8,2.656
55,1357,2.076
56,717.6,2.026
57,2347.4,2.698
58,1614.8,2.096
59,2606.2,2.448
60,2065.4,2.668
61,3235.6,2.166
62,3854.2,1.736
63,2429.4,1.874
64,1464.8,2.186
65,5315.2,1.674
66,1462,1.694
67,4196,1.684
68,1630,1.694
69,4567.8,1.754
70,1784.8,1.754
71,4983.8,1.624
72,3995.6,1.634
73,2155.4,1.946
74,3175.8,1.756
75,3936.6,1.616
76,5206,1.724
77,1853.6,1.666
78,2657.2,1.816
79,1501,1.586
80,2518.6,1.574
81,3348.8,1.766
82,3312.8,1.644
83,2117.4,1.544
84,2011.4,1.794
85,1993.4,1.684
86,2480,1.514
87,3721.2,1.524
88,3261.2,1.574
89,1462.6,1.886
90,4009.8,1.544
91,1983.4,1.604
92,2183.6,1.654
93,4977.8,1.714
94,2450.8,1.604
95,1430.6,1.634
96,494.4,1.664
97,2106,1.586
98,920.2,1.736
99,113,1.636
100,84,1.212
101,1195.2,1.524
102,0,0
103,5,1.644
104,35,1.794
105,79,1.474
106,26,1.664
107,386.4,1.184
108,639.8,1.082
109,1602,1.614
110,132,1.516
111,1055.2,1.886
112,1187.2,1.544
113,27,1.374
114,90,1.704
115,625.8,1.554
116,1461.6,1.534
117,359.4,1.744
118,1820,1.634
119,2202.6,1.644
120,627.8,1.624
121,244.4,1.846
