2010-2040 Household Income (Held constant in $2010) : Household Income,,
TAZ,HH_Inc,HHNUM
1,211537.332,4347.4
2,211537.332,2215.2
3,0,0
4,198412.311,722
5,161020.149,3733
6,161020.149,1732.2
7,151809.183,2726
8,151809.183,6
9,316725.771,1237.8
10,316725.771,1476.2
11,166183.839,2829.2
12,224548.95,3596.6
13,100106.223,3137.4
14,46054.83,2075.4
15,46054.83,0
16,139134.471,0
17,139134.471,726
18,333792.372,720
19,333792.372,1757.6
20,68680.38,3485.2
21,208364.25,515.8
22,169721.352,1441.2
23,167846.349,2906.2
24,133082.274,2387.4
25,118806.708,3397.8
26,150315.126,2082.2
27,169757.685,996.4
28,131972.466,445.8
29,152806.689,3570.2
30,234780.543,1307
31,0,1
32,203687.202,1571.2
33,196931.466,1194.8
34,154860.054,2867.2
35,180873.381,2387.4
36,254642.583,3881.6
37,189691.29,3259.8
38,134408.979,4182
39,206186.472,2415.4
40,152608.509,3842.6
41,178734.138,2628.8
42,25234.92,1857.8
43,73199.985,603.6
44,38008.722,3535.4
45,31833.213,3983
46,26289.678,1001.4
47,48479.232,3327.6
48,42300.42,3125.8
49,106640.658,1516.8
50,24786.813,1825.6
51,108331.794,1093.2
52,69689.997,1466
53,93352.689,2016.6
54,64113.432,3156.8
55,50674.626,1357
56,109844.568,717.6
57,27490.869,2347.4
58,63392.277,1614.8
59,53430.429,2606.2
60,35861.772,2065.4
61,53521.812,3235.6
62,86058.564,3854.2
63,67343.766,2429.4
64,90642.027,1464.8
65,74424.297,5315.2
66,75612.276,1462
67,101800.662,4196
68,160978.311,1630
69,65570.055,4567.8
70,64277.481,1784.8
71,151102.341,4983.8
72,150179.703,3995.6
73,90626.613,2155.4
74,132169.545,3175.8
75,151321.44,3936.6
76,118991.676,5206
77,141814.305,1853.6
78,62753.697,2657.2
79,118120.785,1501
80,89732.601,2518.6
81,113379.879,3348.8
82,80016.276,3312.8
83,80016.276,2117.4
84,89128.152,2011.4
85,89128.152,1993.4
86,118478.61,2480
87,118478.61,3721.2
88,169740.069,3261.2
89,226057.32,1462.6
90,99051.465,4009.8
91,239477.409,1983.4
92,198683.157,2183.6
93,141936.516,4977.8
94,207566.025,2450.8
95,143341.392,1430.6
96,191701.716,494.4
97,180218.286,2106
98,121614.258,920.2
99,267981.198,113
100,77915.568,84
101,149374.872,1195.2
