Id2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,hh_total,hh_avg_inc
1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
3 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
4 ,71,0,17,10,0,28,13,46,0,26,90,78,9,33,40,37,498,62375
5 ,47,14,18,15,1,27,0,23,0,63,41,51,86,45,67,0,498,75000
6 ,15,0,0,9,46,39,0,21,0,7,17,38,78,61,4,0,335,88036
7 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
8 ,72,0,19,0,0,0,24,20,0,29,22,65,0,0,0,0,251,41313
9 ,73,17,18,0,36,20,36,35,10,58,51,32,32,20,0,10,448,41714
10 ,0,0,27,13,17,10,47,0,26,28,147,213,210,159,113,35,1045,98750
11 ,19,0,0,18,0,19,0,0,0,18,0,41,37,0,18,12,182,81848
12 ,107,167,103,39,98,119,117,66,32,93,74,21,50,19,0,0,1105,31058
13 ,94,15,0,21,0,9,15,7,0,34,7,43,0,0,0,0,245,-
14 ,42,59,10,9,17,0,41,17,10,9,6,13,20,0,0,0,253,28456
15 ,56,25,16,13,17,25,0,25,7,70,16,46,44,0,0,7,367,47321
16 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
17 ,85,40,13,18,66,46,97,57,33,35,68,95,48,14,8,6,729,39977
18 ,11,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,21,-
19 ,78,25,6,5,0,0,15,11,0,28,15,9,9,5,6,0,212,-
20 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
21 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
22 ,98,12,0,45,41,0,0,0,32,0,12,0,90,14,17,0,361,-
23 ,158,72,29,87,92,40,103,37,0,0,0,25,54,0,10,0,707,25457
24 ,360,115,202,80,33,34,32,0,0,58,0,17,0,0,0,0,931,14525
25 ,143,74,14,22,16,51,12,28,0,29,51,0,0,0,0,0,440,18036
26 ,46,35,25,0,0,47,13,0,0,5,12,0,0,0,0,0,183,-
27 ,141,70,14,30,20,0,14,0,0,0,0,38,30,0,0,29,386,12364
28 ,307,84,203,149,64,35,30,0,22,30,19,32,0,0,17,0,992,17793
29 ,63,76,0,26,0,20,0,6,19,0,22,0,0,10,0,0,242,13750
30 ,210,154,79,37,33,42,13,10,63,8,11,43,0,23,0,0,726,14979
31 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
32 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,-
33 ,71,53,50,15,21,72,0,0,0,30,0,19,46,0,0,0,377,24917
34 ,172,34,46,32,11,39,23,0,0,24,19,28,0,18,0,0,446,16214
35 ,136,74,66,77,11,0,36,19,0,9,25,7,32,0,0,0,492,16364
36 ,43,30,0,49,12,0,38,0,46,14,0,39,20,8,0,0,299,38520
37 ,41,42,31,0,25,5,13,0,0,0,0,7,16,23,0,0,203,16492
38 ,227,59,23,42,21,16,0,42,9,23,40,16,0,0,0,0,518,11600
39 ,171,25,54,70,32,21,69,9,11,30,45,17,0,4,0,0,558,23066
40 ,110,83,34,9,10,69,83,0,0,0,30,6,0,0,0,0,434,18333
41 ,7,23,0,0,7,0,38,20,0,0,0,27,0,10,0,0,132,38269
42 ,123,97,33,11,22,44,0,0,0,0,51,20,35,0,10,0,446,15227
43 ,115,130,46,0,61,9,0,0,0,45,0,18,0,0,0,0,424,13125
44 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
45 ,12,53,30,33,0,15,14,0,92,46,127,70,38,0,0,0,530,50870
46 ,0,23,13,8,0,90,68,145,93,61,92,134,66,0,0,2,795,47585
47 ,68,17,14,69,76,39,64,0,15,46,65,0,86,57,0,0,616,36116
48 ,38,11,0,57,35,37,0,0,16,72,57,30,64,0,33,0,450,53990
49 ,55,36,80,11,32,29,7,28,49,66,29,92,9,31,5,0,559,45101
50 ,0,13,14,7,27,0,0,0,0,55,26,16,8,0,22,0,188,55469
51 ,73,41,54,97,0,58,20,19,22,12,0,0,0,0,8,9,413,21964
52 ,229,86,74,73,33,29,0,0,0,44,0,0,0,0,14,0,582,13776
53 ,46,49,22,3,8,13,0,28,16,30,14,17,16,0,0,0,262,30577
54 ,181,32,64,66,7,98,27,28,0,11,0,71,0,0,0,0,585,21435
55 ,91,16,42,47,26,22,37,0,10,74,17,79,0,19,20,0,500,35625
56 ,51,0,24,4,9,11,10,4,12,0,16,4,0,0,0,0,145,-
57 ,94,43,16,21,13,32,36,0,22,17,19,15,7,0,0,49,384,30694
58 ,122,49,0,0,64,0,36,17,25,0,34,0,16,0,31,0,394,27979
59 ,38,49,29,29,38,12,13,52,32,0,37,109,45,0,25,0,508,44583
60 ,110,56,18,0,11,0,34,0,0,22,0,0,0,0,14,15,280,13839
61 ,28,39,16,25,30,14,1,53,13,127,0,0,0,55,0,0,401,44647
62 ,80,0,0,137,16,0,17,0,0,40,12,28,0,0,0,0,330,23571
63 ,29,5,52,21,55,12,27,8,49,33,64,59,62,20,10,0,506,49709
64 ,238,78,89,86,0,41,43,0,0,41,13,28,0,0,0,0,657,15446
65 ,110,31,78,134,10,60,65,38,35,0,37,24,0,10,0,0,632,24136
66 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
67 ,285,52,136,47,67,21,54,12,0,0,41,17,0,0,0,33,765,16185
68 ,0,65,42,0,45,49,0,15,0,29,0,63,0,0,0,0,308,32602
69 ,193,119,169,164,19,57,0,118,27,53,0,0,0,0,0,0,919,19375
70 ,85,244,18,19,0,0,0,35,17,17,19,0,83,0,0,0,537,13992
71 ,16,58,0,0,29,0,41,0,24,95,137,0,0,0,0,0,400,55602
72 ,32,0,17,13,34,19,0,15,0,0,64,24,12,0,0,0,230,-
73 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
74 ,0,67,88,0,0,25,14,13,21,75,31,0,0,20,0,0,354,32200
75 ,124,115,46,93,25,48,85,37,0,20,0,18,7,0,0,0,618,20833
76 ,160,102,53,77,36,43,16,8,0,108,11,28,0,0,18,0,660,21389
77 ,95,40,14,28,53,38,9,7,16,8,10,30,7,0,9,21,385,26107
78 ,130,38,38,7,27,0,9,24,0,26,16,15,15,25,11,0,381,16480
79 ,118,47,87,28,56,16,9,11,10,34,8,0,0,8,0,0,432,17452
80 ,9,59,55,24,9,0,32,10,0,0,20,0,26,0,0,0,244,19934
81 ,95,81,22,109,8,9,40,22,21,18,9,63,8,17,0,0,522,22461
82 ,111,62,37,54,59,37,0,35,0,10,32,0,0,0,0,0,437,21635
83 ,77,68,58,67,23,31,21,48,15,131,71,28,10,11,31,8,698,40625
84 ,102,77,56,63,73,0,93,41,37,24,29,7,26,23,0,0,651,27969
85 ,67,55,60,71,34,94,57,0,0,57,55,41,39,47,0,0,677,31533
86 ,64,17,77,24,29,94,0,35,0,27,44,78,35,18,7,0,549,32993
87 ,192,62,19,35,0,35,24,18,47,19,0,0,0,8,0,8,467,11673
88 ,21,60,69,45,33,0,8,0,0,0,17,23,0,22,0,0,298,19934
