Id2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,hh_total,hh_avg_inc
1 ,71,0,0,18,0,0,66,0,0,0,0,13,11,16,32,12,239,-
2 ,17,18,0,0,0,47,0,16,0,0,15,79,0,0,34,155,381,-
3 ,17,58,0,36,15,77,0,0,41,15,50,63,46,115,159,155,847,125270
4 ,33,16,111,53,18,0,16,16,16,52,43,130,84,45,11,90,734,71406
5 ,50,24,18,11,46,28,11,14,14,61,47,16,46,18,0,10,414,48393
6 ,29,0,18,19,0,0,0,0,0,0,0,14,69,88,32,47,316,128906
7 ,0,0,46,0,34,33,50,16,0,17,17,107,18,0,0,92,430,77647
8 ,0,0,0,0,17,33,18,37,17,0,2,0,19,17,69,157,386,182083
9 ,49,0,17,0,17,53,14,0,0,0,17,30,86,53,86,62,484,111250
10 ,0,18,0,0,16,0,0,0,0,16,18,43,29,35,0,85,260,120417
11 ,0,31,31,0,0,0,9,0,7,75,82,30,126,70,54,223,738,119634
12 ,70,81,21,57,7,7,8,8,0,0,25,43,44,82,67,96,616,88643
13 ,10,7,0,9,7,16,0,6,0,22,23,24,12,59,65,161,421,168884
14 ,16,59,9,31,7,14,33,17,14,31,58,133,91,38,92,113,756,95000
15 ,26,52,16,9,15,10,10,17,24,33,25,86,53,66,119,211,772,130313
16 ,26,19,9,28,17,10,0,17,18,22,18,17,90,81,54,219,645,130662
17 ,24,7,10,8,9,8,0,0,8,37,10,56,29,59,52,180,497,143194
18 ,9,10,0,0,29,0,0,51,31,0,39,72,46,96,127,227,737,138854
19 ,26,15,15,0,0,24,56,33,19,62,77,195,101,0,179,406,1208,123516
20 ,28,0,0,8,0,15,24,0,0,46,24,70,113,26,97,234,685,142266
21 ,19,21,0,11,0,0,0,0,6,24,31,108,115,44,88,143,610,114844
22 ,16,14,29,19,5,5,60,15,20,62,51,117,98,80,158,138,887,105938
23 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
24 ,45,8,7,0,0,0,12,26,9,41,75,85,186,81,203,218,996,125526
25 ,146,134,115,68,70,63,11,27,54,22,19,6,22,35,0,7,799,20288
26 ,27,0,0,20,19,50,7,35,9,21,75,128,102,97,118,281,989,125163
27 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
28 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
29 ,11,11,9,13,0,14,0,0,2,0,18,22,14,0,4,8,126,-
30 ,6,0,7,29,13,10,20,4,0,24,19,64,22,10,6,3,237,61058
31 ,8,0,0,0,13,0,0,0,6,6,7,47,0,65,22,380,554,"250,000+"
32 ,0,0,0,0,0,8,0,0,0,0,22,13,87,26,132,373,661,217125
33 ,20,18,0,0,0,12,7,12,0,35,60,62,74,67,34,250,651,138319
34 ,76,0,17,60,26,11,9,30,10,18,59,33,14,19,8,18,408,40417
35 ,56,67,33,34,8,0,56,0,10,24,55,59,0,0,13,23,438,38438
36 ,43,62,54,107,10,48,32,20,52,25,146,31,83,43,33,33,822,47303
37 ,197,60,105,0,8,0,38,41,34,5,0,0,34,4,0,0,526,15789
38 ,114,113,58,74,9,17,34,15,5,55,0,60,0,0,0,0,554,19286
39 ,130,95,8,74,36,17,24,14,0,9,15,77,10,0,0,0,509,21493
40 ,220,98,160,105,168,40,79,123,9,9,0,34,0,0,32,0,1077,21867
41 ,62,53,10,22,0,9,0,0,0,9,30,12,23,0,0,0,230,15000
42 ,11,28,16,19,0,53,0,11,0,6,5,41,43,38,37,66,374,98750
43 ,12,4,0,11,17,7,16,26,44,12,46,61,13,6,12,28,315,65313
44 ,32,26,11,10,43,34,28,18,45,43,162,144,156,50,92,79,973,80234
45 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
46 ,0,0,0,0,0,0,6,0,0,38,0,0,0,0,0,0,44,56739
47 ,8,0,0,0,0,9,24,0,0,8,14,46,99,77,43,92,420,125833
48 ,67,66,0,35,53,20,36,8,56,79,81,99,49,60,186,279,1174,94444
49 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
50 ,9,25,0,17,55,0,23,30,24,12,16,50,53,40,0,27,381,56563
51 ,73,0,50,7,8,13,13,42,32,8,40,46,16,37,24,52,461,48295
52 ,8,17,13,40,9,8,18,0,0,28,17,47,90,56,43,37,431,102986
53 ,0,5,0,0,0,19,18,0,0,3,28,48,35,14,22,99,291,123359
54 ,76,49,27,26,12,33,25,32,0,52,55,18,60,20,4,32,521,42679
55 ,57,17,32,27,0,47,17,8,0,9,30,33,43,51,17,50,438,63158
56 ,35,25,27,57,7,37,10,16,36,126,38,87,125,124,62,33,845,80787
57 ,42,0,8,0,53,24,41,0,12,25,36,47,24,28,60,100,500,76184
58 ,35,29,4,0,10,7,9,16,8,11,45,70,37,89,71,176,617,128917
59 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
60 ,16,25,31,16,19,24,5,17,29,21,74,69,92,41,38,103,620,83056
61 ,49,22,49,55,27,38,13,29,0,18,8,63,116,27,70,147,731,98625
62 ,9,20,0,0,0,0,17,10,0,8,28,47,21,23,30,42,255,89327
63 ,0,11,8,0,0,0,12,0,0,0,14,34,12,59,31,53,234,136250
64 ,9,0,9,0,65,30,10,0,19,32,76,68,51,32,87,175,663,110625
65 ,0,0,29,0,10,0,8,0,0,11,64,18,35,31,48,59,313,118583
66 ,0,10,8,0,0,0,0,0,0,0,25,32,79,46,60,176,436,151552
67 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
68 ,75,16,25,17,46,9,37,0,0,7,7,31,23,43,77,76,489,76528
69 ,0,0,0,21,0,0,0,21,39,31,5,29,36,71,75,116,444,141250
70 ,31,0,54,0,0,26,7,22,14,21,21,46,75,58,106,182,663,127266
