Id2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,hh_total,hh_avg_inc
3.6085E+11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
3.6085E+11,0,28,31,28,21,11,13,42,37,32,59,96,23,5,16,4,446,53333
3.6085E+11,40,9,12,13,18,33,13,7,17,47,27,116,61,41,20,48,522,81154
3.6085E+11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
3.6085E+11,11,0,0,16,33,16,0,0,0,9,0,31,26,0,22,14,178,81429
3.6085E+11,148,123,59,80,47,18,7,31,23,32,94,35,78,5,91,58,929,32344
3.6085E+11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
3.6085E+11,310,28,33,14,18,0,32,12,24,18,75,0,0,0,72,0,636,-
3.6085E+11,68,0,0,0,0,36,4,0,17,0,36,67,29,15,44,15,331,75388
3.6085E+11,0,21,10,0,0,10,0,47,49,0,63,31,85,10,85,0,411,92944
3.6085E+11,88,122,86,32,8,65,32,46,98,57,141,92,0,50,0,0,917,42277
3.6085E+11,39,28,71,7,34,35,0,8,23,23,38,114,83,13,22,15,553,68259
3.6085E+11,8,0,19,20,35,33,32,6,10,25,115,145,102,59,41,17,667,79056
3.6085E+11,58,12,39,1,29,11,32,17,62,15,52,168,115,56,39,53,759,82109
3.6085E+11,39,6,15,8,5,23,9,24,28,21,19,47,30,31,12,13,330,52222
3.6085E+11,59,21,31,20,0,0,0,29,5,21,15,39,22,9,14,0,285,41597
3.6085E+11,23,16,49,34,16,34,38,39,11,23,97,52,0,24,24,26,506,48409
3.6085E+11,69,41,0,0,26,0,0,7,0,25,52,38,33,9,21,0,321,54250
3.6085E+11,64,38,0,41,15,0,0,24,26,27,15,26,0,20,32,0,328,43125
3.6085E+11,24,14,12,64,0,12,8,4,0,15,2,13,12,18,34,24,256,38125
3.6085E+11,73,16,21,45,21,0,0,0,13,31,10,49,13,3,30,7,332,-
3.6085E+11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
3.6085E+11,0,0,0,5,0,16,0,18,19,15,23,49,16,7,4,10,182,67000
3.6085E+11,8,13,31,6,6,22,14,14,47,20,26,90,52,29,81,59,518,86429
