GEO.id2,HD01_VD10,,,,,,,,HD01_VD01
Id2,1,2,3,4,5,6,7,total hhsize,total hh num
360850003000 ,0,0,0,0,0,0,0,0,0
360850003001 ,225,105,43,25,35,9,4,446,911
360850003002 ,277,141,72,28,4,0,0,522,1008
360850006000 ,0,0,0,0,0,0,0,0,0
360850006001 ,93,47,16,0,22,0,0,178,363
360850006002 ,459,249,98,67,53,0,3,929,1841
360850007000 ,0,0,0,0,0,0,0,0,0
360850007001 ,173,214,45,12,0,72,120,636,2206
360850007002 ,53,136,142,0,0,0,0,331,731
360850007003 ,82,152,56,74,0,47,0,411,1223
360850007004 ,315,260,210,106,8,18,0,917,2068
360850008001 ,136,174,113,52,71,0,7,553,1407
360850008002 ,103,167,149,92,98,52,6,667,2098
360850008003 ,221,104,116,231,54,33,0,759,2157
360850009001 ,124,124,52,16,3,0,11,330,679
360850009002 ,48,55,31,61,53,23,14,285,1045
360850011001 ,213,101,121,8,51,0,12,506,1205
360850011002 ,51,161,58,25,10,0,16,321,841
360850011003 ,56,114,48,51,35,0,24,328,1128
360850017001 ,90,53,34,28,31,20,0,256,692
360850017002 ,113,79,39,91,6,4,0,332,808
360850018000 ,0,0,0,0,0,0,0,0,0
360850018001 ,24,46,40,45,6,21,0,182,584
360850020011 ,218,153,49,46,34,13,5,518,1149
360850020012 ,142,152,87,114,61,0,0,556,1435
360850020021 ,275,212,221,130,35,31,11,915,2449
360850020022 ,116,65,41,129,19,0,0,370,946
360850021000 ,0,0,0,0,0,0,0,0,0
360850021001 ,26,71,131,6,84,42,11,371,1379
360850021002 ,106,80,82,58,0,36,0,362,977
360850021003 ,299,114,89,104,67,0,48,721,1929
360850027001 ,76,57,149,96,60,23,15,476,2186
360850029001 ,58,15,85,51,57,58,0,324,1193
360850029002 ,218,272,210,53,87,47,0,887,2398
360850029003 ,94,120,66,6,7,14,25,332,858
360850029004 ,47,82,52,55,8,28,0,272,788
360850033001 ,115,181,155,92,6,0,0,549,1360
360850033002 ,246,254,92,129,88,13,41,863,2348
360850036001 ,86,86,115,80,55,56,1,479,1531
360850036002 ,82,75,43,61,40,42,2,345,1058
360850039001 ,162,83,0,50,6,0,10,311,779
360850039002 ,215,173,140,61,36,16,0,641,1611
360850040001 ,25,150,64,235,8,0,0,482,1516
360850040002 ,475,151,329,134,153,0,37,1279,3288
360850040003 ,233,173,338,93,0,0,96,933,2757
360850040004 ,45,204,153,55,30,11,0,498,1313
360850040005 ,101,151,23,85,30,0,0,390,948
360850040006 ,67,23,31,66,55,47,0,289,1084
360850040007 ,26,53,98,28,90,0,36,331,1443
360850047001 ,328,126,51,75,79,0,39,698,2529
360850047002 ,181,91,21,28,25,0,0,346,660
360850050001 ,69,267,173,129,37,7,5,687,1921
360850050002 ,123,182,71,64,0,7,15,462,1113
360850050003 ,32,96,40,70,42,0,0,280,829
360850059001 ,192,130,121,97,17,22,9,588,1481
360850059002 ,176,143,42,120,59,23,0,563,1530
360850064001 ,19,43,23,81,14,6,0,186,629
360850064002 ,32,98,31,79,8,39,0,287,906
360850064003 ,193,195,166,63,36,44,0,697,1846
360850067001 ,101,85,66,39,29,9,0,329,863
360850067002 ,82,142,39,54,41,9,0,367,982
360850067003 ,65,82,66,42,25,0,0,280,706
360850070000 ,0,0,0,0,0,0,0,0,0
360850070001 ,182,110,78,310,144,68,32,924,3843
360850070002 ,30,124,65,92,18,28,34,391,1347
360850070003 ,76,24,80,147,64,33,16,440,1666
360850070004 ,259,135,126,158,53,33,13,777,2086
360850074000 ,0,0,0,0,0,0,0,0,0
360850074001 ,95,132,174,138,77,11,9,636,1939
360850074002 ,282,208,149,229,56,19,24,967,2734
360850075001 ,17,8,63,25,88,54,27,282,1268
360850075002 ,72,152,49,87,28,24,24,436,1487
360850075003 ,79,76,123,43,6,13,24,364,1558
360850077001 ,88,144,92,74,31,28,27,484,1497
360850081000 ,0,0,0,0,0,0,0,0,0
360850081001 ,493,124,78,128,2,9,25,859,1791
360850081002 ,142,152,66,12,48,7,0,427,1252
360850081003 ,91,81,85,69,41,16,27,410,1330
360850096011 ,293,235,88,109,10,9,0,744,1572
360850096012 ,230,196,123,151,57,8,0,765,2272
360850096021 ,72,138,129,109,31,0,0,479,1304
360850096022 ,105,90,119,67,23,0,0,404,1019
360850096023 ,158,79,53,101,0,37,0,428,1104
